ric,company_name,name_bhrc,company_id,url_bhrc,category,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ASSAb.ST,Assa Abloy AB,Assa Abloy,755874,https://www.business-humanrights.org/en/companies/assa-abloy/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAb.ST,Assa Abloy AB,Assa Abloy,755874,https://www.business-humanrights.org/en/companies/assa-abloy/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAb.ST,Assa Abloy AB,Assa Abloy,755874,https://www.business-humanrights.org/en/companies/assa-abloy/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATCOa.ST,Atlas Copco AB,Atlas Copco,755780,https://www.business-humanrights.org/en/companies/atlas-copco/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATCOa.ST,Atlas Copco AB,Atlas Copco,755780,https://www.business-humanrights.org/en/companies/atlas-copco/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATCOa.ST,Atlas Copco AB,Atlas Copco,755780,https://www.business-humanrights.org/en/companies/atlas-copco/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUTOA.L,Auto Trader Group PLC,Auto Trader Group plc,903994,https://www.business-humanrights.org/en/companies/auto-trader-group-plc/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOA.L,Auto Trader Group PLC,Auto Trader Group plc,903994,https://www.business-humanrights.org/en/companies/auto-trader-group-plc/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOA.L,Auto Trader Group PLC,Auto Trader Group plc,903994,https://www.business-humanrights.org/en/companies/auto-trader-group-plc/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AV.L,Aviva PLC,Aviva,755486,https://www.business-humanrights.org/en/companies/aviva/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
