ric,company_name,name_bhrc,url_bhrc,company_id
NTGY.MC,Naturgy Energy Group SA,Naturgy,https://www.business-humanrights.org/en/companies/naturgy/,765131
NWG.L,NatWest Group PLC,NatWest (part of Royal Bank of Scotland),https://www.business-humanrights.org/en/companies/natwest-part-of-royal-bank-of-scotland/,758506
NXT.L,Next PLC,Next,https://www.business-humanrights.org/en/companies/next/,758531
OCDO.L,Ocado Group PLC,Ocado,https://www.business-humanrights.org/en/companies/ocado/,761548
OMVV.VI,OMV AG,OMV,https://www.business-humanrights.org/en/companies/omv/,758674
ORAN.PA,Orange SA,Orange (formerly France Telecom),https://www.business-humanrights.org/en/companies/orange/,758729
OREP.PA,L'Oreal SA,L'Oreal,https://www.business-humanrights.org/en/companies/loreal/,757985
ORK.OL,Orkla ASA,Orkla ASA,https://www.business-humanrights.org/en/companies/orkla-asa/,969988
ORNBV.HE,Orion Oyj,Orion,https://www.business-humanrights.org/en/companies/orion/,758706
ORSTED.CO,Oersted A/S,Ørsted,https://www.business-humanrights.org/en/companies/orsted/,756784
P911_p.DE,Dr Ing hc F Porsche AG,Porsche,https://www.business-humanrights.org/en/companies/porsche/,760986
PERP.PA,Pernod Ricard SA,Pernod Ricard,https://www.business-humanrights.org/en/companies/pernod-ricard/,758822
PGHN.S,Partners Group Holding AG,Partners Group (UK) Ltd,https://www.business-humanrights.org/en/companies/partners-group-uk-ltd/,903679
PHG.AS,Koninklijke Philips NV,Philips (Royal Philips Electronics),https://www.business-humanrights.org/en/companies/philips-royal-philips-electronics/,758998
PHNX.L,Phoenix Group Holdings PLC,Phoenix Group,https://www.business-humanrights.org/en/companies/phoenix-group/,765093
PKN.WA,Orlen SA,PKN Orlen,https://www.business-humanrights.org/en/companies/pkn-orlen/,758926
PKO.WA,Powszechna Kasa Oszczednosci Bank Polski SA,PKO Bank Polski,https://www.business-humanrights.org/en/companies/pko-bank-polski/,967373
PLUSP.L,Plus500 Ltd,Plus500 Ltd,https://www.business-humanrights.org/en/companies/plus500-ltd/,906579
PNDORA.CO,Pandora A/S,Pandora Group,https://www.business-humanrights.org/en/companies/pandora-group/,762636
PNN.L,Pennon Group PLC,Pennon Group plc,https://www.business-humanrights.org/en/companies/pennon-group-plc/,901367
PRTP.PA,Kering SA,Kering,https://www.business-humanrights.org/en/companies/kering-formerly-ppr-pinault-printemps-redoute/,758846
PRU.L,Prudential PLC,Prudential plc,https://www.business-humanrights.org/en/companies/prudential-plc/,758873
PRX.AS,Prosus NV,Prosus,https://www.business-humanrights.org/en/companies/prosus/,950190
PRY.MI,Prysmian SpA,Prysmian,https://www.business-humanrights.org/en/companies/prysmian/,760451
PSN.L,Persimmon PLC,Persimmon,https://www.business-humanrights.org/en/companies/persimmon/,758903
PSON.L,Pearson PLC,Pearson,https://www.business-humanrights.org/en/companies/pearson/,758847
PUBP.PA,Publicis Groupe SA,Publicis,https://www.business-humanrights.org/en/companies/publicis/,758841
PUIGb.MC,Puig Brands SA,Puig,https://www.business-humanrights.org/en/companies/puig/,765464
PUMG.DE,Puma SE,Puma,https://www.business-humanrights.org/en/companies/puma/,758754
QQ.L,QinetiQ Group PLC,QinetiQ,https://www.business-humanrights.org/en/companies/qinetiq/,758973
